Muscle_ID,Equipment_ID,Name,ID,Exercise_Type_ID
15,7,front incline dumbbell raise,279,1
9,,front leg raises,280,2
15,37,front plate raise,281,1
6,,front raise and pullover,282,1
14,,front squat (clean grip),283,1
14,,front squats with two kettlebells,284,1
15,7,front two-dumbbell raise,285,1
10,,full range-of-motion lat pulldown,286,1
10,,gironda sternum chins,287,1
9,,glute ham raise,288,2
8,,glute kickback,289,2
14,,goblet squat,290,1
9,,good morning,291,1
9,,good morning off pins,292,1
1,,gorilla chin/crunch,293,2
3,,groin and back stretch,294,2
3,,groiners,295,2
14,,hack squat,296,1
4,,hammer curls,297,1
6,,hammer grip incline db bench press,298,1
9,,hamstring stretch,299,2
9,,hamstring-smr,300,1
15,,handstand push-ups,301,2
14,,hang clean,302,1
14,,hang clean - below the knees,303,1
9,,hang snatch,304,1
9,,hang snatch - below knees,305,1
9,,hanging bar good morning,306,1
1,,hanging leg raise,307,2
1,,hanging pike,308,2
14,,heaving snatch balance,309,1
6,,heavy bag thrust,310,1
4,4,high cable curls,311,1
2,,hip circles (prone),312,2
8,,hip extension with bands,313,1
14,8,hip flexion with band,314,1
8,8,hip lift with band,315,1
11,,hug a ball,316,1
11,,hug knees to 6,317,2
9,,hurdle hops,318,3
11,,hyperextensions (back extensions),319,2
11,,hyperextensions with no hyperextension bench,320,2
2,,iliotibial tract-smr,321,2
17,3,incline barbell 17 extension,322,1
12,,incline bench pull,323,1
6,4,incline cable 6 press,324,1
6,4,incline cable flye,325,1
6,7,incline dumbbell bench with palms facing in,326,1
4,7,incline dumbbell curl,327,1
6,7,incline dumbbell flyes,328,1
6,7,incline dumbbell flyes - with a twist,329,1
6,7,incline dumbbell press,330,1
4,,incline hammer curls,331,1
4,,incline inner 4 curl,332,1
6,,incline push-up,333,2
17,,incline push-up close-grip,334,2
6,,incline push-up depth jump,335,2
6,,incline push-up medium,336,2
6,,incline push-up reverse grip,337,2
6,,incline push-up wide,338,2
9,,intermediate groin stretch,339,2
14,,intermediate hip flexor and quad stretch,340,2
15,8,internal rotation with band,341,1
12,,inverted row,342,2
12,,inverted row with s16,343,2
15,,iron cross,344,2
14,,iron crosses (stretch),345,2
13,,isometric 13 exercise - front and back,346,2
13,,isometric 13 exercise - sides,347,2
6,,isometric 6 squeezes,348,2
6,,isometric wipers,349,2
2,,it band and glute stretch,350,2
1,,jackknife sit-up,351,2
1,,janda sit-up,352,2
14,,jefferson squats,353,2
15,,jerk balance,354,2
14,,jerk dip squat,355,2
17,,jm press,356,2
14,33,jogging-treadmill,357,3
11,15,keg load,358,1
15,16,kettlebell arnold press,359,1
9,16,kettlebell dead clean,360,1
1,16,kettlebell figure 8,361,1
9,16,kettlebell hang clean,362,1
9,16,kettlebell one-legged deadlift,363,1
1,16,kettlebell pass between the legs,364,1
15,16,kettlebell pirate ships,365,1
14,16,kettlebell pistol squat,366,1
15,16,kettlebell seated press,367,1
15,16,kettlebell seesaw press,368,1
16,16,kettlebell sumo high pull,369,1
15,16,kettlebell thruster,370,1
15,16,kettlebell turkish get-up (lunge style),371,1
1,16,kettlebell windmill,372,1
10,,kipping muscle up,373,2
8,,knee across the body,374,2
5,,knee circles,375,2
9,,knee tuck jump,376,2
1,,knee/hip raise on parallel bars,377,2
15,,kneeling arm drill,378,2
17,4,kneeling cable 17 extension,379,1
1,4,kneeling cable crunch with alternating oblique twists,380,1
7,,kneeling forearm stretch,381,2
10,,kneeling high pulley row,382,1
14,,kneeling hip flexor,383,2
8,,kneeling jump squat,384,2
10,,kneeling single-arm high pulley row,385,1
8,,kneeling squat,386,2
1,,landmine 180's,387,1
15,,landmine linear jammer,388,1
3,,lateral bound,389,1
3,,lateral box jump,390,2
3,,lateral cone hops,391,2
15,,lateral raise - with bands,392,1
10,,latissimus dorsi-smr,393,1
14,,leg extensions,394,1
8,,leg lift,395,2
14,,leg press,396,1
1,,leg pull-in,397,2
6,,leg-over floor press,398,1
9,,leg-up hamstring stretch,399,2
6,,leverage 6 press,400,1
14,,leverage deadlift,401,1
6,,leverage decline 6 press,402,1
12,,leverage high row,403,1
6,,leverage incline 6 press,404,1
10,,leverage iso row,405,1
15,,leverage shoulder press,406,1
16,,leverage shrug,407,1
9,,linear 3-part start technique,408,1
9,,linear acceleration wall drill,409,1
14,,linear depth jump,410,2
15,18,log lift,411,1
10,,london bridges,412,2
14,,looking at ceiling,413,2
17,4,low cable 17 extension,414,1
6,4,low cable crossover,415,1
15,,low pulley row to 13,416,1
9,,lunge pass through,417,2
14,,lunge sprint,418,3
17,,lying 17 press,419,1
3,,lying bent leg groin,420,1
4,4,lying cable curl,421,1
12,3,lying cambered barbell row,422,1
4,,lying close-grip bar curl on high pulley,423,1
17,3,lying close-grip barbell 17 extension behind the head,424,1
17,3,lying close-grip barbell 17 press to chin,425,1
2,,lying crossover,426,1
17,7,lying dumbbell tricep extension,427,1
13,37,lying face down plate 13 resistance,428,1
13,37,lying face up plate 13 resistance,429,1
8,,lying glute,430,1
9,,lying hamstring,431,1
4,3,lying high bench barbell curl,432,1
9,,lying leg curls,433,1
14,36,lying machine squat,434,1
15,,lying one-arm lateral raise,435,1
14,,lying prone 14,436,1
15,,lying rear delt raise,437,1
4,7,lying supine dumbbell curl,438,1
12,,lying t-bar row,439,1
17,36,machine 17 extension,440,1
6,36,machine bench press,441,1
4,36,machine bicep curl,442,1
4,36,machine preacher curls,443,1
15,36,machine shoulder (military) press,444,1
6,19,medicine ball 6 pass,445,2
1,19,medicine ball full twist,446,2
15,19,medicine ball scoop throw,447,2
12,,mixed grip chin,448,2
2,,monster walk,449,2
14,,mountain climbers,450,2
9,,moving claw series,451,2
9,,muscle snatch,452,1
10,,muscle up,453,2
14,,narrow stance hack squats,454,1
14,,narrow stance leg press,455,1
14,,narrow stance squats,456,1
9,,natural glute ham raise,457,1
1,,oblique crunches,458,2
1,,oblique crunches - on the floor,459,2
14,,olympic squat,460,1
14,,on your side quad stretch,461,2
14,,on-your-back quad stretch,462,2
10,,one arm against wall,463,2
12,,one arm chin-up,464,2
6,7,one arm dumbbell bench press,465,1
4,7,one arm dumbbell preacher curl,466,1
17,,one arm floor press,467,1
10,,one arm lat pulldown,468,1
17,7,one arm pronated dumbbell 17 extension,469,1
17,7,one arm supinated dumbbell 17 extension,470,1
14,,one half locust,471,1
10,,one handed hang,472,2
8,,one knee to 6,473,2
14,3,one leg barbell squat,474,1
12,7,one-arm dumbbell row,475,1
6,7,one-arm flat bench dumbbell flye,476,1
1,4,one-arm high-pulley cable side bends,477,1
15,,one-arm incline lateral raise,478,1
9,16,one-arm kettlebell clean,479,1
15,16,one-arm kettlebell clean and jerk,480,1
6,16,one-arm kettlebell floor press,481,1
